CustomerID,Age,Gender,Income,Location,HighestEducation,CreditScore,Profession,DisposableIncome
1,47,0,1793000.0,2,1,668,1,126000.0
2,37,0,2503000.0,0,2,689,2,275000.0
3,49,0,1054000.0,2,0,635,0,316000.0
4,62,0,1264000.0,2,1,661,3,442000.0
5,36,1,1241000.0,1,0,711,0,285000.0
6,36,0,432000.0,2,2,711,0,186000.0
7,63,0,941000.0,0,1,721,3,207000.0
8,51,1,713000.0,1,0,666,2,100000.0
9,32,0,1341000.0,2,1,753,0,215000.0
10,48,1,1683000.0,1,3,692,0,151000.0
11,33,1,1945000.0,0,1,678,0,350000.0
12,33,0,1647000.0,1,0,687,0,280000.0
13,43,1,384000.0,2,0,717,0,188000.0
14,18,1,442000.0,2,1,714,0,71000.0
15,18,0,836000.0,0,1,676,0,92000.0
16,31,0,463000.0,0,1,746,0,42000.0
17,24,0,294000.0,1,0,689,3,32000.0
18,44,1,1030000.0,2,3,733,2,278000.0
19,26,1,329000.0,0,1,767,0,39000.0
20,18,0,428000.0,0,0,674,0,43000.0
21,61,1,1778000.0,2,0,680,3,267000.0
22,36,0,950000.0,0,2,643,2,266000.0
23,41,1,2421000.0,0,1,652,1,605000.0
24,18,1,538000.0,2,0,733,0,178000.0
25,31,0,1324000.0,0,1,732,0,278000.0
26,41,1,879000.0,2,1,607,0,378000.0
27,22,1,887000.0,2,2,648,3,302000.0
28,45,1,862000.0,1,0,768,2,86000.0
29,30,0,1307000.0,2,1,657,3,301000.0
30,35,1,1328000.0,0,0,686,0,199000.0
31,30,1,2419000.0,1,0,701,0,411000.0
32,67,0,1329000.0,1,0,707,3,226000.0
33,39,0,1281000.0,0,0,626,0,320000.0
34,24,0,472000.0,1,0,707,0,90000.0
35,52,1,2068000.0,0,2,554,1,207000.0
36,21,1,985000.0,1,1,666,1,118000.0
37,43,0,271000.0,0,0,681,0,87000.0
38,18,1,531000.0,2,1,618,0,64000.0
39,20,0,301000.0,2,1,732,1,57000.0
40,42,1,699000.0,1,0,653,0,210000.0
41,51,0,1308000.0,1,0,783,3,510000.0
42,42,0,998000.0,2,1,720,0,240000.0
43,38,0,1500000.0,0,1,687,0,840000.0
44,35,0,328000.0,1,1,736,1,85000.0
45,18,1,1324000.0,2,1,615,0,344000.0
46,29,1,962000.0,1,0,708,1,221000.0
47,33,0,548000.0,2,1,636,0,93000.0
48,55,0,1157000.0,2,0,740,0,324000.0
49,45,0,3594000.0,2,1,676,0,1581000.0
50,18,1,1705000.0,0,1,594,0,324000.0
51,44,1,3097000.0,1,2,631,1,805000.0
52,34,0,940000.0,0,1,699,0,282000.0
53,29,1,1501000.0,0,0,716,0,330000.0
54,49,0,2732000.0,2,2,621,1,956000.0
55,55,1,899000.0,0,2,606,2,153000.0
56,53,1,3146000.0,1,3,677,1,503000.0
57,27,1,1612000.0,1,1,779,0,403000.0
58,35,1,661000.0,2,0,672,1,139000.0
59,44,1,1403000.0,2,2,710,0,365000.0
60,54,1,2621000.0,1,1,567,1,655000.0
61,32,1,863000.0,1,0,834,1,164000.0
62,37,0,1693000.0,2,1,644,0,322000.0
63,23,0,613000.0,0,0,704,1,294000.0
64,22,0,507000.0,1,1,606,1,51000.0
65,52,1,714000.0,2,1,720,0,100000.0
66,60,0,1542000.0,2,3,669,0,185000.0
67,38,0,1372000.0,1,1,711,0,261000.0
68,55,0,557000.0,2,1,684,0,67000.0
69,45,0,3148000.0,1,1,723,2,1794000.0
70,30,1,1687000.0,2,1,751,1,337000.0
71,45,1,1752000.0,2,2,628,1,158000.0
72,63,1,1910000.0,0,0,782,3,458000.0
73,39,1,807000.0,2,1,663,1,137000.0
74,63,1,697000.0,1,1,722,2,209000.0
75,18,0,1006000.0,1,1,655,0,342000.0
76,52,0,2192000.0,0,1,705,1,723000.0
77,41,1,781000.0,1,0,680,0,164000.0
78,35,0,661000.0,2,1,798,0,79000.0
79,41,0,873000.0,0,1,660,0,288000.0
80,18,1,909000.0,1,0,779,0,164000.0
81,36,0,1266000.0,2,0,649,0,165000.0
82,45,0,2591000.0,0,0,779,1,466000.0
83,62,0,1802000.0,2,1,748,1,487000.0
84,32,0,671000.0,1,1,681,0,302000.0
85,27,0,920000.0,1,2,691,0,156000.0
86,32,0,526000.0,1,0,707,0,126000.0
87,53,1,2286000.0,1,1,700,1,297000.0
88,44,1,680000.0,0,1,720,0,177000.0
89,32,0,767000.0,1,1,705,2,115000.0
90,47,1,1564000.0,0,1,649,0,375000.0
91,41,0,2542000.0,0,1,673,1,381000.0
