CustomerID,Age,Gender,Location,HighestEducation,Income,CreditScore,Profession,DisposableIncome
1,47,Male,Rural,Graduation,2190000.0,668,Self-employed,569000.0
2,37,Male,Urban,Masters,4244000.0,689,Business,891000.0
3,49,Male,Rural,HighSchool,864000.0,635,Salaried,199000.0
4,62,Male,Rural,Graduation,1545000.0,661,Retired,247000.0
5,36,Female,Suburb,HighSchool,1018000.0,711,Salaried,153000.0
6,36,Male,Rural,Masters,734000.0,711,Salaried,235000.0
7,63,Male,Urban,Graduation,1150000.0,721,Retired,218000.0
8,51,Female,Suburb,HighSchool,585000.0,666,Business,88000.0
9,32,Male,Rural,Graduation,1639000.0,753,Salaried,1082000.0
10,48,Female,Suburb,PostDoc,3772000.0,692,Salaried,2263000.0
11,33,Female,Urban,Graduation,2376000.0,678,Salaried,261000.0
12,33,Male,Suburb,HighSchool,1351000.0,687,Salaried,243000.0
13,43,Female,Rural,HighSchool,315000.0,717,Salaried,132000.0
14,18,Female,Rural,Graduation,431000.0,714,Salaried,56000.0
15,18,Male,Urban,Graduation,1021000.0,676,Salaried,133000.0
16,31,Male,Urban,Graduation,566000.0,746,Salaried,125000.0
17,24,Male,Suburb,HighSchool,241000.0,689,Retired,67000.0
18,44,Female,Rural,PostDoc,2309000.0,733,Business,277000.0
19,26,Female,Urban,Graduation,402000.0,767,Salaried,125000.0
20,18,Male,Urban,HighSchool,351000.0,674,Salaried,154000.0
21,61,Female,Rural,HighSchool,1458000.0,680,Retired,190000.0
22,36,Male,Urban,Masters,1611000.0,643,Business,258000.0
23,41,Female,Urban,Graduation,2959000.0,652,Self-employed,829000.0
24,18,Female,Rural,HighSchool,441000.0,733,Salaried,66000.0
25,31,Male,Urban,Graduation,1618000.0,732,Salaried,113000.0
26,41,Female,Rural,Graduation,1074000.0,607,Salaried,193000.0
27,22,Female,Rural,Masters,1505000.0,648,Retired,256000.0
28,45,Female,Suburb,HighSchool,707000.0,768,Business,85000.0
29,30,Male,Rural,Graduation,1597000.0,657,Retired,511000.0
30,35,Female,Urban,HighSchool,1089000.0,686,Salaried,196000.0
31,30,Female,Suburb,HighSchool,1984000.0,701,Salaried,694000.0
32,67,Male,Suburb,HighSchool,1090000.0,707,Retired,76000.0
33,39,Male,Urban,HighSchool,1050000.0,626,Salaried,63000.0
34,24,Male,Suburb,HighSchool,387000.0,707,Salaried,112000.0
35,52,Female,Urban,Masters,3508000.0,554,Self-employed,316000.0
36,21,Female,Suburb,Graduation,1067000.0,666,Self-employed,117000.0
37,43,Male,Urban,HighSchool,222000.0,681,Salaried,27000.0
38,18,Female,Rural,Graduation,649000.0,618,Salaried,324000.0
39,20,Male,Rural,Graduation,368000.0,732,Self-employed,103000.0
40,42,Female,Suburb,HighSchool,573000.0,653,Salaried,46000.0
41,51,Male,Suburb,HighSchool,1073000.0,783,Retired,182000.0
42,42,Male,Rural,Graduation,1220000.0,720,Salaried,232000.0
43,38,Male,Urban,Graduation,1833000.0,687,Salaried,183000.0
44,35,Male,Suburb,Graduation,400000.0,736,Self-employed,68000.0
45,18,Female,Rural,Graduation,1618000.0,615,Salaried,210000.0
46,29,Female,Suburb,HighSchool,789000.0,708,Self-employed,339000.0
47,33,Male,Rural,Graduation,669000.0,636,Salaried,120000.0
48,55,Male,Rural,HighSchool,949000.0,740,Salaried,85000.0
49,45,Male,Rural,Graduation,4392000.0,676,Salaried,966000.0
50,18,Female,Urban,Graduation,2084000.0,594,Salaried,521000.0
51,44,Female,Suburb,Masters,5253000.0,631,Self-employed,735000.0
52,34,Male,Urban,Graduation,1149000.0,699,Salaried,299000.0
53,29,Female,Urban,HighSchool,1231000.0,716,Salaried,259000.0
54,49,Male,Rural,Masters,4633000.0,621,Self-employed,695000.0
55,55,Female,Urban,Masters,1524000.0,606,Business,259000.0
