CustomerID,PersonalLoan_Owned,PersonalLoan_Amount,HomeLoan_Owned,HomeLoan_Amount,VehicleLoan_Owned,VehicleLoan_Amount,EducationLoan_Owned,EducationLoan_Amount,Insurance_Owned,Insurance_Amount,VehicleInsurance_Owned,VehicleInsurance_Amount,MutualFund_Owned,MutualFund_Amount,FixedDeposit_Owned,FixedDeposit_Amount,LastProductPurchased
1,0,0.0,0,0.0,1,129300.0,0,0.0,0,0.0,0,0.0,0,0.0,1,149200.0,VehicleLoan
2,0,0.0,0,0.0,0,0.0,1,189000.0,0,0.0,0,0.0,0,0.0,1,230800.0,EducationLoan
3,0,0.0,0,0.0,1,1676000.0,0,0.0,0,0.0,0,0.0,0,0.0,1,182100.0,VehicleLoan
4,0,0.0,0,0.0,1,332000.0,0,0.0,0,0.0,1,35500.0,0,0.0,0,0.0,VehicleInsurance
5,0,0.0,0,0.0,0,0.0,0,0.0,1,23400.0,0,0.0,0,0.0,0,0.0,Insurance
6,1,798400.0,0,0.0,1,317900.0,0,0.0,0,0.0,0,0.0,1,239200.0,0,0.0,VehicleLoan
7,1,296900.0,1,4075200.0,0,0.0,0,0.0,1,25900.0,0,0.0,0,0.0,0,0.0,PersonalLoan
8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,19000.0,0,0.0,0,0.0,VehicleInsurance
9,0,0.0,0,0.0,0,0.0,1,187200.0,0,0.0,1,37800.0,0,0.0,1,66700.0,FixedDeposit
10,0,0.0,1,5420300.0,0,0.0,0,0.0,1,30300.0,0,0.0,0,0.0,0,0.0,HomeLoan
11,0,0.0,0,0.0,1,520100.0,0,0.0,0,0.0,1,9200.0,0,0.0,0,0.0,VehicleLoan
12,1,473500.0,0,0.0,1,923800.0,1,126700.0,0,0.0,0,0.0,0,0.0,0,0.0,VehicleLoan
13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,227200.0,FixedDeposit
14,1,597300.0,0,0.0,0,0.0,0,0.0,1,15700.0,0,0.0,0,0.0,0,0.0,PersonalLoan
15,0,0.0,1,3982800.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,HomeLoan
16,1,165900.0,0,0.0,0,0.0,0,0.0,1,17200.0,0,0.0,0,0.0,0,0.0,Insurance
17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,38100.0,1,113500.0,0,0.0,VehicleInsurance
18,0,0.0,1,3212400.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,108400.0,FixedDeposit
19,0,0.0,1,1952900.0,0,0.0,0,0.0,0,0.0,1,12800.0,1,87200.0,0,0.0,VehicleInsurance
20,0,0.0,1,5944700.0,0,0.0,1,89500.0,0,0.0,0,0.0,0,0.0,0,0.0,HomeLoan
21,0,0.0,0,0.0,0,0.0,1,85700.0,1,34000.0,0,0.0,0,0.0,0,0.0,Insurance
22,0,0.0,0,0.0,1,384000.0,0,0.0,0,0.0,0,0.0,0,0.0,1,61200.0,VehicleLoan
23,1,309000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,PersonalLoan
24,0,0.0,1,3974800.0,0,0.0,1,166300.0,0,0.0,0,0.0,1,145200.0,0,0.0,EducationLoan
25,0,0.0,0,0.0,0,0.0,0,0.0,1,17900.0,1,62700.0,0,0.0,0,0.0,VehicleInsurance
26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,196000.0,FixedDeposit
27,0,0.0,1,1993000.0,1,104700.0,0,0.0,1,17700.0,0,0.0,0,0.0,0,0.0,HomeLoan
28,1,920000.0,1,3545700.0,0,0.0,0,0.0,1,23300.0,0,0.0,0,0.0,0,0.0,Insurance
29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,260300.0,0,0.0,MutualFund
30,0,0.0,0,0.0,1,149900.0,0,0.0,0,0.0,0,0.0,1,151500.0,0,0.0,VehicleLoan
31,0,0.0,0,0.0,0,0.0,1,172000.0,0,0.0,0,0.0,1,104100.0,0,0.0,EducationLoan
32,0,0.0,0,0.0,1,417900.0,1,127800.0,0,0.0,1,22200.0,0,0.0,0,0.0,VehicleInsurance
33,0,0.0,1,2238400.0,0,0.0,1,131600.0,1,27600.0,0,0.0,0,0.0,0,0.0,EducationLoan
34,0,0.0,0,0.0,0,0.0,1,293900.0,1,30400.0,0,0.0,0,0.0,0,0.0,Insurance
35,1,452600.0,0,0.0,1,505500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,PersonalLoan
36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,309300.0,FixedDeposit
37,1,543100.0,0,0.0,0,0.0,1,95900.0,1,12500.0,0,0.0,0,0.0,0,0.0,EducationLoan
38,1,328800.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,84400.0,1,151800.0,FixedDeposit
39,1,646500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,PersonalLoan
40,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25400.0,1,238200.0,1,86700.0,VehicleInsurance
41,0,0.0,0,0.0,1,916900.0,1,145800.0,0,0.0,0,0.0,0,0.0,0,0.0,VehicleLoan
42,0,0.0,1,7588400.0,0,0.0,0,0.0,0,0.0,1,46800.0,0,0.0,1,192900.0,VehicleInsurance
43,0,0.0,0,0.0,1,2130300.0,0,0.0,1,27800.0,0,0.0,1,126900.0,0,0.0,Insurance
44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,144200.0,FixedDeposit
45,0,0.0,1,4069100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,149900.0,FixedDeposit
46,0,0.0,0,0.0,0,0.0,0,0.0,1,23500.0,0,0.0,0,0.0,0,0.0,Insurance
47,0,0.0,0,0.0,0,0.0,1,241500.0,0,0.0,1,23700.0,0,0.0,1,115200.0,EducationLoan
48,0,0.0,0,0.0,0,0.0,0,0.0,1,22400.0,0,0.0,0,0.0,1,340000.0,FixedDeposit
49,0,0.0,0,0.0,1,603000.0,1,140700.0,0,0.0,0,0.0,0,0.0,0,0.0,EducationLoan
50,0,0.0,0,0.0,1,312500.0,0,0.0,0,0.0,0,0.0,1,464700.0,1,79000.0,FixedDeposit
51,0,0.0,1,4573000.0,0,0.0,0,0.0,0,0.0,0,0.0,1,146400.0,1,71300.0,MutualFund
