CustomerID,PersonalLoan_Owned,PersonalLoan_Amount,HomeLoan_Owned,HomeLoan_Amount,VehicleLoan_Owned,VehicleLoan_Amount,EducationLoan_Owned,EducationLoan_Amount,Insurance_Owned,Insurance_Amount,VehicleInsurance_Owned,VehicleInsurance_Amount,MutualFund_Owned,MutualFund_Amount,FixedDeposit_Owned,FixedDeposit_Amount,LastProductPurchased
1,0.0,0.0,0.7,2562600.0,0.6,932000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HomeLoan
2,0.0,0.0,0.0,0.0,0.5,584800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VehicleLoan
3,0.7,277600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PersonalLoan
4,0.0,0.0,0.0,0.0,0.7,664200.0,0.9,99300.0,0.8,15300.0,0.0,0.0,0.0,0.0,0.0,0.0,EducationLoan
5,0.0,0.0,0.7,808100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HomeLoan
6,0.6,290800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,27400.0,0.0,0.0,0.7,427200.0,0.0,0.0,PersonalLoan
7,0.0,0.0,0.0,0.0,0.0,0.0,0.9,160600.0,0.6,28600.0,0.0,0.0,0.0,0.0,0.6,276500.0,FixedDeposit
8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,375000.0,0.0,0.0,0.0,0.0,0.6,121400.0,0.0,0.0,MutualFund
9,0.0,0.0,0.0,0.0,0.0,0.0,0.6,162500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EducationLoan
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,17300.0,0.0,0.0,0.0,0.0,VehicleInsurance
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,179700.0,FixedDeposit
12,0.0,0.0,0.0,0.0,0.7,462400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,57000.0,0.0,0.0,VehicleLoan
13,0.0,0.0,0.0,0.0,0.0,0.0,0.7,138200.0,0.0,0.0,0.7,43300.0,0.0,0.0,0.0,0.0,EducationLoan
14,0.0,0.0,0.0,0.0,0.8,235100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VehicleLoan
15,0.6,321000.0,0.0,0.0,0.0,0.0,0.8,248200.0,0.5,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,Insurance
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,158800.0,FixedDeposit
17,0.0,0.0,0.0,0.0,0.0,0.0,0.6,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,412200.0,EducationLoan
18,0.5,738400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,35100.0,0.0,0.0,0.0,0.0,PersonalLoan
19,0.0,0.0,0.6,3105300.0,0.9,1066900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,214200.0,FixedDeposit
20,0.0,0.0,0.7,4338300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,8800.0,0.5,206200.0,0.0,0.0,VehicleInsurance
21,0.0,0.0,0.0,0.0,0.0,0.0,0.8,231000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,54500.0,FixedDeposit
22,0.0,0.0,0.7,2167800.0,0.0,0.0,0.8,203700.0,0.0,0.0,0.0,0.0,0.6,125800.0,0.0,0.0,MutualFund
23,0.0,0.0,0.6,1903100.0,0.0,0.0,0.0,0.0,0.6,17900.0,0.0,0.0,0.0,0.0,0.0,0.0,HomeLoan
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,40000.0,0.0,0.0,0.9,126400.0,0.0,0.0,Insurance
25,0.0,0.0,0.0,0.0,0.0,0.0,0.7,178900.0,0.6,26600.0,0.0,0.0,0.7,59200.0,0.0,0.0,EducationLoan
26,0.0,0.0,0.0,0.0,0.0,0.0,0.7,210600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,223300.0,EducationLoan
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,63100.0,0.0,0.0,MutualFund
28,0.7,610900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PersonalLoan
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,223500.0,FixedDeposit
30,0.0,0.0,0.6,2824800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,146800.0,FixedDeposit
31,0.7,964200.0,0.0,0.0,0.0,0.0,0.6,180800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EducationLoan
32,0.6,517200.0,0.8,1848900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HomeLoan
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,28900.0,0.9,22000.0,0.0,0.0,0.0,0.0,VehicleInsurance
34,0.0,0.0,0.7,2959900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,286300.0,HomeLoan
35,0.0,0.0,0.0,0.0,0.0,0.0,0.5,111400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EducationLoan
36,0.0,0.0,0.0,0.0,0.0,0.0,0.6,169700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,215200.0,FixedDeposit
37,0.0,0.0,0.0,0.0,0.8,846600.0,0.7,252300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EducationLoan
38,0.0,0.0,0.0,0.0,0.0,0.0,0.4,100600.0,0.0,0.0,0.7,9400.0,0.0,0.0,0.0,0.0,EducationLoan
